エイリアス,詳細,補足,コマンド,管理者権限
accwiz,ユーザー補助の設定ウィザード,,accwiz,
appwiz.cpl,アプリケーションの追加と削除,,appwiz.cpl,
calc,電卓,,calc,
certmgr.msc,証明書,,certmgr.msc,
charmap,文字コード表,,charmap,
ciadv.msc,インデックスサービス,,ciadv.msc,
cleanmgr,ディスククリーンアップ,,cleanmgr,
cmd,コマンドプロンプト,,cmd,
compmgmt.msc,コンピュータの管理,,compmgmt.msc,
control,コントロールパネル,,control,
control admintools,管理ツール,,control admintools,
control folders,フォルダオプション,,control FOLDERS,
control printers,デバイスとプリンタ,,control printers,
dcomcnfg,分散COMの構成のプロパティ,,dcomcnfg,
ddeshare,DDE共有,,ddeshare,
desk.cpl,画面のプロパティ,,desk.cpl,
devmgmt.msc,デバイスマネージャ,,devmgmt.msc,
dfrg.msc,ディスクデフラグツール,,dfrg.msc,
diskmgmt.msc,ディスクの管理,,diskmgmt.msc,
dxdiag,Direct X診断ツール,,dxdiag,
environment,環境変数,,rundll32.exe sysdm.cpl EditEnvironmentVariables,
eudcedit,外字エディタ,,eudcedit,
eventvwr,イベントビューア,,eventvwr,
excel,Excel,,excel,
firewall.cpl,Windowsファイアウォール,,firewall.cpl,
fonts,フォントフォルダ,,fonts,
freecell,フリーセル,,freecell,
fsmgmt.msc,共有フォルダ,,fsmgmt.msc,
fxscover,送付状エディタ,,fxscover,
gpedit.msc,グループポリシー,,gpedit.msc,
hdwwiz.cpl,ハードウェアの追加ウィザード,,hdwwiz.cpl,
hosts,ホストファイル編集,,notepad C:\Windows\System32\drivers\etc\hosts,
iexplorer,Internet Explorer,,iexplorer,
iexpress,IExpress（自己解凍書庫作成）,,iexpress,
inetcpl.cpl,インターネットオプション,,inetcpl.cpl,
intl.cpl,地域と言語のオプション,,intl.cpl,
joy.cpl,ゲームコントローラ,,joy.cpl,
kinou,機能の有効化または無効化,,OptionalFeatures.exe,
logoff,ログオフ,,logoff,
lusrmgr.msc,ローカルユーザとグループ,,lusrmgr.msc,
magnify,拡大鏡,,magnify,
main.cpl,マウスのプロパティ,,main.cpl,
migwiz,ファイルと設定の転送ウィザード,,migwiz,
mmc,コンソール,,mmc,
mmsys.cpl,サウンドとオーディオデバイスのプロパティ,,mmsys.cpl,
mrt,Microsoft Windows　悪意のあるソフトウェアの削除ツール,,mrt,
msaccess,Access,,msaccess,
msconfig,システム構成ユーティリティ,,msconfig,
msinfo32,システム情報,,msinfo32,
mspaint,ペイント,,mspaint,
ms-settings:display,ディスプレイ,,ms-settings:display,
ms-settings:powersleep,電源とスリープ,,ms-settings:powersleep,
ms-settings:printers,プリンターとスキャナ,,ms-settings:printers,
ms-settings:windowsupdate,WindowsUpdate,,ms-settings:windowsupdate,
mstsc,リモートデスクトップ接続,,mstsc,
my,ショートカットキーフォルダ,,D:\99_my,
narrator,ナレータ,,narrator,
ncpa.cpl,ネットワーク接続,,ncpa.cpl,
netsetup.cpl,ネットワークセットアップウィザード,,netsetup.cpl,
notepad,メモ帳,,notepad,
ntmsmgr.msc,リムーバブル記憶領域の管理,,ntmsmgr.msc,
ntmsoprq.msc,リムーバブル記憶領域の操作要求,,ntmsoprq.msc,
nusrmgr.cpl,ユーザーアカウント,,nusrmgr.cpl,
odbcad32,ODBCデータソースアドミニストレータ,,odbcad32,
osk,スクリーンキーボード,,osk,
outlook,Outlook,,outlook,
packager,オブジェクトパッケージャ,,packager,
perfmon,パフォーマンス,,perfmon,
pinball,ピンボール,,pinball,
powercfg.cpl,電源オプション,,powercfg.cpl,
powerpnt,PowerPoint,,powerpnt,
print,キャプチャフォルダ,,D:\98_printscreen,
regedit,レジストリエディタ,,regedit,
rsop.msc,ポリシーの結果セット,,rsop.msc,
secpol.msc,ローカルセキュリティポリシー,,secpol.msc,
services.msc,サービス,,services.msc,
share,共有フォルダ,,D:\95_share,
shell:Downloads,ダウンロードフォルダ,,shell:Downloads,
shell:Programs,プログラムフォルダ,,shell:Programs,
shell:Start Menu,ユーザーのスタートメニュー,【ホットキ-】\Microsoft\Windows\Start Menu,shell:Start Menu,
shell:Startup,ユーザーのスタートアップ,\Microsoft\Windows\Start Menu\Programs\Startup,shell:Startup,
shrpubw,共有フォルダの作成,,shrpubw,
sigverif,ファイルの署名と確認,,sigverif,
sndrec32,サウンドレコーダー,,sndrec32,
sndvol32,ボリュームコントロール,,sndvol32,
sol,ソリティア,,sol,
spider,スパイダ,,spider,
sysdm.cpl,システムのプロパティ,,sysdm.cpl,
taskmgr,タスクマネージャ,,taskmgr,
telnet,Telnet,,telnet,
timedate.cpl,日付と時刻のプロパティ,,timedate.cpl,
tool,ツールフォルダ,,D:\97_tool,
uac,ユーザー制御,,UserAccountControlSettings.exe,
utilman,ユーティリティマネージャ,,utilman,
verifier,Driver Verifier Manager（システム内のドライバ分析）,,verifier,
visio32,Visio,,visio32,
winchat,チャット,,winchat,
winver,Windowsバージョン情報,,winver,
winword,Word,,winword,
wmimgmt.msc,WMI,,wmimgmt.msc,
wmplayer,Windows Media Player,,wmplayer,
wordpad,ワードパット,,wordpad,
work,ワークフォルダ,,D:\96_work,
wscui.msc,Windowsセキュリティセンター,,wscui.msc,
wuaucpl.cpl,自動更新,,wuaucpl.cpl,
wupdmgr,Microsoft Update,,wupdmgr,
